Party,Won,Party ID,allinece
Aam Aadmi Party - AAAP,3,1,INDIA
All India Trinamool Congress - AITC,29,140,INDIA
Communist Party of India  (Marxist) - CPI(M),4,547,INDIA
Communist Party of India  (Marxist-Leninist)  (Liberation) - CPI(ML)(L),2,545,INDIA
Communist Party of India - CPI,2,544,INDIA
Dravida Munnetra Kazhagam - DMK,22,582,INDIA
Indian National Congress - INC,99,742,INDIA
Indian Union Muslim League - IUML,3,772,INDIA
Jammu & Kashmir National Conference - JKN,2,834,INDIA
Jharkhand Mukti Morcha - JMM,3,852,INDIA
Kerala Congress - KEC,1,911,INDIA
Marumalarchi Dravida Munnetra Kazhagam - MDMK,1,1046,INDIA
Nationalist Congress Party Sharadchandra Pawar - NCPSP,8,3620,INDIA
Rashtriya Janata Dal - RJD,4,1420,INDIA
Rashtriya Loktantrik Party - RLTP,1,2484,INDIA
Revolutionary Socialist Party - RSP,1,1534,INDIA
Samajwadi Party - SP,37,1680,INDIA
Shiv Sena (Uddhav Balasaheb Thackrey) - SHSUBT,9,3369,INDIA
Viduthalai Chiruthaigal Katchi - VCK,2,1847,INDIA
Aazad Samaj Party (Kanshi Ram) - ASPKR,1,2989,OTHERS
AJSU Party - AJSUP,1,160,NDA
All India Majlis-E-Ittehadul Muslimeen - AIMIM,1,118,OTHERS
Apna Dal (Soneylal) - ADAL,1,2070,NDA
Asom Gana Parishad - AGP,1,83,NDA
Bharat Adivasi Party - BHRTADVSIP,1,3482,INDIA
Bharatiya Janata Party - BJP,240,369,NDA
Hindustani Awam Morcha (Secular) - HAMS,1,664,NDA
Independent - IND,7,743,OTHERS
Janasena Party - JnP,2,860,NDA
Janata Dal  (Secular) - JD(S),2,804,NDA
Janata Dal  (United) - JD(U),12,805,NDA
Lok Janshakti Party(Ram Vilas) - LJPRV,5,3165,NDA
Nationalist Congress Party - NCP,1,1142,NDA
Rashtriya Lok Dal - RLD,2,1458,NDA
Shiromani Akali Dal - SAD,1,1584,OTHERS
Shiv Sena - SHS,7,3529,NDA
Sikkim Krantikari Morcha - SKM,1,1658,NDA
Telugu Desam - TDP,16,1745,NDA
"United People’s Party, Liberal - UPPL",1,1998,OTHERS
Voice of the People Party - VOTPP,1,3388,OTHERS
Yuvajana Sramika Rythu Congress Party - YSRCP,4,1888,OTHERS
Zoram People’s Movement - ZPM,1,2757,OTHERS
